     Orientation no.            sigma (A)       epsilon (cm-1)
                 711                 3.56               77.446
                 712                 5.88               29.143
                 713                 3.39               79.885
                 714                 3.21               71.356
                 715                 4.19               47.247
                 716                 3.65               74.696
                 717                 4.01               53.726
                 718                 3.12               76.162
                 719                 3.39               80.483
                 720                 5.88               29.889
                 721                 3.47               79.690
                 722                 3.21               83.603
                 723                 3.74               61.559
                 724                 3.56               76.480
                 725                 4.28               36.032
                 726                 3.30               76.167
                 727                 3.30               76.784
                 728                 4.28               34.553
                 729                 3.56               77.007
                 730                 3.74               63.169
                 731                 3.21               83.159
                 732                 3.47               80.226
                 733                 5.88               29.882
                 734                 3.39               81.616
                 735                 3.12               75.122
                 736                 4.10               51.990
                 737                 3.56               76.399
                 738                 4.19               47.354
                 739                 3.21               71.680
                 740                 3.39               81.376
                 741                 5.88               29.394
                 742                 3.47               79.612
                 743                 3.39               76.394
                 744                 3.56               69.285
                 745                 3.56               78.795
                 746                 5.88               28.727
                 747                 3.30               80.175
                 748                 3.21               73.553
                 749                 4.19               41.821
                 750                 3.56               77.695
                 751                 3.92               56.242
                 752                 3.03               81.204
                 753                 3.39               82.305
                 754                 5.88               30.170
                 755                 3.39               82.138
                 756                 3.12               82.640
                 757                 3.92               57.399
                 758                 3.56               78.361
                 759                 4.28               39.569
                 760                 3.21               74.664
                 761                 3.30               80.243
                 762                 5.88               28.572
                 763                 3.47               79.582
                 764                 3.65               66.342
                 765                 3.30               77.363
                 766                 3.47               81.684
                 767                 5.88               29.670
                 768                 3.39               82.912
                 769                 3.12               72.717
                 770                 4.10               47.500
                 771                 3.56               78.789
                 772                 4.10               50.249
                 773                 3.12               74.012
                 774                 3.39               83.680
                 775                 5.88               29.949
                 776                 3.47               82.676
                 777                 3.21               80.254
                 778                 3.74               62.814
                 779                 3.47               80.318
                 780                 4.28               30.318
                 781                 3.30               79.538
                 782                 3.21               76.886
                 783                 4.28               35.769
                 784                 3.56               80.084
                 785                 3.83               59.089
                 786                 3.12               82.979
                 787                 3.39               83.931
                 788                 5.88               30.248
                 789                 3.39               84.732
                 790                 3.03               78.384
                 791                 4.01               53.029
                 792                 3.56               80.125
                 793                 4.19               43.450
                 794                 3.21               73.267
                 795                 3.30               83.389
                 796                 5.88               29.303
                 797                 3.47               82.926
                 798                 3.47               71.128
                 799                 3.47               70.974
                 800                 3.47               83.091
                 801                 5.88               29.313
                 802                 3.30               83.663
                 803                 3.21               73.430
                 804                 4.19               42.958
                 805                 3.47               80.816
                 806                 4.01               52.639
                 807                 3.03               78.306
                 808                 3.39               85.629
                 809                 5.88               30.332
                 810                 3.39               85.448
                 811                 3.12               82.363
                 812                 3.83               58.179
                 813                 3.47               82.194
                 814                 4.28               34.616
                 815                 3.21               77.925
                 816                 3.30               80.540
                 817                 4.28               28.504
                 818                 3.47               83.151
                 819                 3.65               61.493
                 820                 3.21               78.946
                 821                 3.39               85.348
                 822                 5.88               30.127
                 823                 3.30               86.139
                 824                 3.03               73.894
                 825                 4.10               48.445
                 826                 3.47               82.207
                 827                 4.10               45.839
                 828                 3.12               73.207
                 829                 3.30               86.058
                 830                 5.88               29.928
                 831                 3.39               85.425
                 832                 3.30               75.691
                 833                 3.65               63.931
                 834                 3.47               84.385
                 835                 5.88               28.861
                 836                 3.30               82.680
                 837                 3.21               76.679
                 838                 4.28               36.433
                 839                 3.47               83.572
                 840                 3.92               54.823
                 841                 3.03               80.633
                 842                 3.39               87.214
                 843                 5.88               30.511
                 844                 3.39               87.244
                 845                 3.03               79.936
                 846                 3.92               53.378
                 847                 3.47               83.877
                 848                 4.19               38.325
                 849                 3.21               75.604
                 850                 3.30               84.040
                 851                 5.88               29.169
                 852                 3.47               85.382
                 853                 3.56               65.952
                 854                 3.39               72.627
                 855                 3.39               86.500
                 856                 5.88               29.841
                 857                 3.30               86.621
                 858                 3.12               73.416
                 859                 4.19               43.081
                 860                 3.47               84.286
                 861                 4.01               48.125
                 862                 3.03               75.015
                 863                 3.30               88.147
                 864                 5.88               30.392
                 865                 3.39               87.917
                 866                 3.21               78.806
