     Orientation no.            sigma (A)       epsilon (cm-1)
                 485                 3.39              218.097
                 486                 3.83              174.495
                 487                 4.19              152.001
                 488                 3.92              169.322
                 489                 3.39              248.774
                 490                 3.83              192.706
                 491                 4.01              162.201
                 492                 4.28              142.081
                 493                 3.65              180.933
                 494                 3.65              181.054
                 495                 4.28              141.842
                 496                 3.92              162.825
                 497                 3.92              191.968
                 498                 3.39              249.538
                 499                 3.83              171.010
                 500                 4.19              150.610
                 501                 3.74              176.209
                 502                 3.39              221.688
                 503                 4.10              164.753
                 504                 4.01              161.920
                 505                 4.28              152.045
                 506                 3.47              196.632
                 507                 3.74              179.787
                 508                 4.28              138.937
                 509                 3.92              169.138
                 510                 3.56              231.818
                 511                 3.65              214.554
                 512                 3.92              167.936
                 513                 4.28              137.289
                 514                 3.65              182.000
                 515                 3.47              190.101
                 516                 4.28              147.052
                 517                 3.92              163.985
                 518                 4.10              171.702
                 519                 3.30              242.054
                 520                 3.83              176.996
                 521                 4.19              151.276
                 522                 3.83              176.346
                 523                 3.30              248.709
                 524                 4.01              178.854
                 525                 3.92              165.873
                 526                 4.28              142.310
                 527                 3.56              188.120
                 528                 3.65              184.374
                 529                 4.28              135.008
                 530                 3.92              169.140
                 531                 3.83              202.380
                 532                 3.47              239.931
                 533                 3.83              173.685
                 534                 4.28              138.106
                 535                 3.74              182.568
                 536                 3.39              211.149
                 537                 4.19              154.056
                 538                 3.92              166.433
                 539                 4.19              157.293
                 540                 3.39              216.853
                 541                 3.74              183.025
                 542                 4.28              138.334
                 543                 3.83              176.000
                 544                 3.47              244.964
                 545                 3.83              197.459
                 546                 3.92              170.595
                 547                 4.37              133.928
                 548                 3.56              187.686
                 549                 3.56              189.861
                 550                 4.37              138.502
                 551                 3.92              169.806
                 552                 4.01              179.906
                 553                 3.39              252.999
                 554                 3.74              179.547
                 555                 4.19              144.869
                 556                 3.74              183.315
                 557                 3.30              243.531
                 558                 4.10              165.782
                 559                 3.92              169.816
                 560                 4.28              144.983
                 561                 3.39              199.425
                 562                 3.65              188.110
                 563                 4.28              130.437
                 564                 3.83              175.595
                 565                 3.65              217.180
                 566                 3.65              221.933
                 567                 3.83              176.651
                 568                 4.28              130.518
                 569                 3.65              188.881
                 570                 3.39              203.975
                 571                 4.28              145.937
                 572                 3.92              171.362
                 573                 4.19              161.989
                 574                 3.30              241.708
                 575                 3.74              186.189
                 576                 4.19              139.212
                 577                 3.74              182.876
                 578                 3.39              254.267
                 579                 4.01              180.256
                 580                 3.83              173.634
                 581                 4.37              135.705
                 582                 3.47              194.342
                 583                 3.56              192.799
                 584                 4.37              132.476
                 585                 3.83              175.823
                 586                 3.92              189.452
                 587                 3.47              246.456
                 588                 3.74              182.758
                 589                 4.28              134.279
                 590                 3.65              190.021
                 591                 3.30              231.640
                 592                 4.19              154.803
                 593                 3.92              173.698
                 594                 4.28              149.544
                 595                 3.30              216.977
                 596                 3.65              191.968
                 597                 4.28              129.008
                 598                 3.83              182.079
                 599                 3.56              232.840
                 600                 3.74              201.221
                 601                 3.83              179.911
                 602                 4.37              128.287
                 603                 3.56              194.902
                 604                 3.39              200.687
                 605                 4.37              138.565
                 606                 3.83              177.170
                 607                 4.10              169.394
                 608                 3.30              256.919
                 609                 3.74              189.308
                 610                 4.28              135.663
                 611                 3.74              189.667
                 612                 3.30              256.587
                 613                 4.10              168.169
                 614                 3.83              178.445
                 615                 4.37              138.580
                 616                 3.39              203.541
                 617                 3.56              196.691
                 618                 4.37              126.603
                 619                 3.83              182.578
                 620                 3.74              202.200
                 621                 3.56              229.938
                 622                 3.74              186.248
                 623                 4.37              124.572
                 624                 3.56              196.203
                 625                 3.30              220.393
                 626                 4.28              146.343
                 627                 3.83              179.749
                 628                 4.28              153.148
                 629                 3.30              238.190
                 630                 3.65              195.797
                 631                 4.28              129.117
                 632                 3.74              190.251
                 633                 3.39              247.494
                 634                 3.92              185.380
                 635                 3.83              183.399
                 636                 4.37              128.454
                 637                 3.47              201.036
                 638                 3.47              201.825
                 639                 4.37              130.623
                 640                 3.83              183.569
                 641                 4.01              177.957
                 642                 3.39              254.363
                 643                 3.65              192.486
                 644                 4.28              129.484
                 645                 3.65              197.408
                 646                 3.21              248.777
                 647                 4.19              157.306
                 648                 3.83              183.243
                 649                 4.37              142.109
                 650                 3.30              217.285
                 651                 3.56              201.000
                 652                 4.37              122.185
                 653                 3.74              190.493
                 654                 3.65              218.377
                 655                 3.74              208.485
                 656                 3.74              190.020
                 657                 4.37              122.107
                 658                 3.56              201.781
                 659                 3.30              212.968
                 660                 4.37              139.009
                 661                 3.83              185.317
                 662                 4.19              160.225
                 663                 3.21              256.124
                 664                 3.65              199.549
                 665                 4.28              127.938
                 666                 3.65              198.139
                 667                 3.30              259.136
                 668                 4.01              170.139
                 669                 3.74              187.660
                 670                 4.37              130.998
                 671                 3.39              208.339
                 672                 3.47              205.289
                 673                 4.37              122.973
                 674                 3.74              191.086
                 675                 3.83              188.917
                 676                 3.47              239.034
                 677                 3.65              196.387
                 678                 4.37              119.756
                 679                 3.56              204.424
                 680                 3.21              237.124
                 681                 4.28              148.246
                 682                 3.74              188.349
                 683                 4.28              147.075
                 684                 3.21              235.495
                 685                 3.56              205.385
                 686                 4.37              118.947
                 687                 3.65              198.042
                 688                 3.47              235.870
                 689                 3.83              190.765
                 690                 3.74              194.007
                 691                 4.45              121.486
                 692                 3.47              207.765
                 693                 3.39              211.483
                 694                 4.37              130.052
                 695                 3.74              192.553
                 696                 4.10              167.860
                 697                 3.30              260.448
                 698                 3.65              203.221
                 699                 4.28              123.233
                 700                 3.56              205.323
                 701                 3.21              260.072
                 702                 4.19              159.309
                 703                 3.74              193.186
                 704                 4.37              135.830
                 705                 3.30              218.525
                 706                 3.47              209.652
                 707                 4.37              117.389
