     Orientation no.            sigma (A)       epsilon (cm-1)
                 985                 3.03               43.294
                 986                 3.30               38.699
                 987                 4.19               34.709
                 988                 3.30               38.727
                 989                 3.03               43.277
                 990                 3.92               24.056
                 991                 3.47               41.292
                 992                 4.19               24.733
                 993                 3.03               36.856
                 994                 3.21               35.840
                 995                 4.19               29.070
                 996                 3.39               40.634
                 997                 3.56               28.815
                 998                 3.30               35.058
                 999                 3.39               40.121
                1000                 4.19               32.468
                1001                 3.21               36.827
                1002                 2.94               39.802
                1003                 4.10               23.663
                1004                 3.47               41.334
                1005                 4.10               23.471
                1006                 2.94               42.033
                1007                 3.30               37.418
                1008                 4.19               33.831
                1009                 3.39               39.557
                1010                 3.21               38.952
                1011                 3.74               26.678
                1012                 3.47               40.736
                1013                 4.19               27.779
                1014                 3.12               35.772
                1015                 3.12               35.882
                1016                 4.19               26.727
                1017                 3.47               40.871
                1018                 3.83               25.585
                1019                 3.12               41.576
                1020                 3.39               39.004
                1021                 4.19               34.443
                1022                 3.30               37.866
                1023                 2.94               43.191
                1024                 4.01               24.180
                1025                 3.47               41.035
                1026                 4.10               24.534
                1027                 3.03               38.179
                1028                 3.21               36.270
                1029                 4.19               31.770
                1030                 3.39               39.993
                1031                 3.39               33.109
                1032                 3.47               31.835
                1033                 3.39               40.008
                1034                 4.19               31.323
                1035                 3.21               36.027
                1036                 3.03               37.595
                1037                 4.10               25.108
                1038                 3.47               40.798
                1039                 3.92               24.651
                1040                 2.94               43.488
                1041                 3.30               37.865
                1042                 4.19               34.578
                1043                 3.39               38.540
                1044                 3.03               42.930
                1045                 3.83               25.981
                1046                 3.47               40.503
                1047                 4.19               27.125
                1048                 3.12               35.715
                1049                 3.12               35.416
                1050                 4.19               29.404
                1051                 3.47               40.123
                1052                 3.65               28.540
                1053                 3.21               38.921
                1054                 3.39               39.156
                1055                 4.19               33.761
                1056                 3.30               36.732
                1057                 2.94               41.009
                1058                 4.01               25.019
                1059                 3.47               40.403
                1060                 4.10               24.992
                1061                 2.94               40.157
                1062                 3.30               36.403
                1063                 4.19               33.510
                1064                 3.39               39.077
                1065                 3.21               38.081
                1066                 3.56               29.917
                1067                 3.47               39.746
                1068                 4.19               30.353
