     Orientation no.            sigma (A)       epsilon (cm-1)
                 568                 4.68              237.736
                 569                 4.05               94.369
                 570                 3.70              172.598
                 571                 4.77              198.981
                 572                 4.41               83.858
                 573                 4.59              202.242
                 574                 3.70              240.386
                 575                 4.23               87.721
                 576                 4.68              273.814
                 577                 4.32               85.929
                 578                 3.79              255.826
                 579                 4.41              210.875
                 580                 4.41               84.801
                 581                 4.77              206.306
                 582                 3.79              125.105
                 583                 3.87              113.626
                 584                 4.77              212.023
                 585                 4.41               85.249
                 586                 4.32              215.564
                 587                 3.87              251.045
                 588                 4.32               86.603
                 589                 4.68              264.841
                 590                 4.14               90.718
                 591                 3.61              227.417
                 592                 4.68              199.489
                 593                 4.41               85.595
                 594                 4.68              197.519
                 595                 3.61              201.326
                 596                 4.05               93.896
                 597                 4.68              248.858
                 598                 4.32               87.182
                 599                 3.96              241.227
                 600                 4.23              222.765
                 601                 4.32               86.735
                 602                 4.77              221.401
                 603                 3.96              105.805
                 604                 3.70              150.502
                 605                 4.77              200.486
                 606                 4.41               86.675
                 607                 4.50              204.496
                 608                 3.70              258.322
                 609                 4.23               89.639
                 610                 4.68              277.785
                 611                 4.23               89.854
                 612                 3.70              258.071
                 613                 4.50              203.200
                 614                 4.41               87.240
                 615                 4.77              199.714
                 616                 3.70              156.635
                 617                 3.96              106.505
                 618                 4.77              222.132
                 619                 4.32               88.489
                 620                 4.23              223.054
                 621                 3.96              238.864
                 622                 4.32               88.997
                 623                 4.77              244.953
                 624                 4.05               97.514
                 625                 3.61              205.826
                 626                 4.77              196.908
                 627                 4.41               88.144
                 628                 4.68              198.729
                 629                 3.61              238.719
                 630                 4.05               94.165
                 631                 4.68              264.659
                 632                 4.23               90.770
                 633                 3.87              252.144
                 634                 4.41              212.246
                 635                 4.32               89.622
                 636                 4.77              208.154
                 637                 3.79              124.176
                 638                 3.79              133.828
                 639                 4.77              203.725
                 640                 4.32               89.959
                 641                 4.41              209.328
                 642                 3.79              257.722
                 643                 4.23               91.963
                 644                 4.68              271.110
                 645                 4.14               94.655
                 646                 3.61              252.165
                 647                 4.68              198.866
                 648                 4.32               90.331
                 649                 4.77              197.046
                 650                 3.61              195.275
                 651                 3.96              103.558
                 652                 4.77              236.593
                 653                 4.23               91.822
                 654                 4.05              232.701
                 655                 4.14              227.473
                 656                 4.23               91.795
                 657                 4.77              228.595
                 658                 3.87              107.544
                 659                 3.61              181.354
                 660                 4.77              197.113
                 661                 4.32               91.650
                 662                 4.59              200.876
                 663                 3.61              260.741
                 664                 4.14               95.772
                 665                 4.68              274.971
                 666                 4.14               94.865
                 667                 3.70              262.128
                 668                 4.50              206.104
                 669                 4.32               92.475
                 670                 4.85              200.185
                 671                 3.70              151.685
                 672                 3.79              122.397
                 673                 4.77              211.890
                 674                 4.23               93.103
                 675                 4.32              216.282
                 676                 3.87              246.290
                 677                 4.23               94.539
                 678                 4.77              254.688
                 679                 3.96              101.220
                 680                 3.52              234.892
                 681                 4.77              195.883
                 682                 4.32               93.471
